URL,Label
https://drive.google.com/file/d/1pU2RIvs_tdCLnKDPrcbL19lR7Gdiy-g6/edit,a
https://drive.google.com/file/d/1rE0gSyaFiij0j06axZSnEVNEoNJckqcY/edit,a
https://drive.google.com/file/d/1Da8VdsbUthFBN08UPdwjmIGwdplTUz6w/edit,a
https://drive.google.com/file/d/1M2rZrRxGQ1W5Gr4oLu5QK6BD2GtN4OX9/edit,a
https://drive.google.com/file/d/1j-3yreqpQH31sF7-djwwtUfed-5XZscm/edit,a
https://drive.google.com/file/d/1lvrFQIn8LDPa2TvFAlI-qwfRjDIX2GRB/edit,a
https://drive.google.com/file/d/19t6AQkyNVdF1g17iLMq5GQ_6XRyMWPRP/edit,a
https://drive.google.com/file/d/12Mgr7hJE7a9mgUr5kbjBIKsOza9jyAIh/edit,a
https://drive.google.com/file/d/1suInfPtQqF4PreeT4ey4tKgr0Xs3ihzP/edit,a
https://drive.google.com/file/d/1rgBc1S49x1ptZkvbrYltCn3dxephl_KW/edit,a
https://drive.google.com/file/d/1SRFsttLyeYSxnavbSYc0EY3nPPQay544/edit,a
https://drive.google.com/file/d/117kXeFp5C06Sqtk8jZJng1plWOxXuXOg/edit,a
https://drive.google.com/file/d/1tdwRIYvcIpgf9LPjdOGlit5lwyka7BuJ/edit,a
https://drive.google.com/file/d/1WdiT3VQcDer141I-YbFC9n6_vbiyOILw/edit,a
https://drive.google.com/file/d/1Y2HKStTjn6R3ea_WylD-wtu0b5XVcWMj/edit,a
https://drive.google.com/file/d/1z_eIeRmn6HX_P5OOkM2VrtsUI1AHAIdR/edit,a
https://drive.google.com/file/d/1psOxUd9rxMh9M-2SzkeGBg_lKLcMBg_k/edit,a
https://drive.google.com/file/d/1kucWIAjvD5iqJupxwtIgStYI9PI0A2RH/edit,a
https://drive.google.com/file/d/1SuBjIanIETgFN-7b0SHcwAwWs6S1jzaI/edit,a
https://drive.google.com/file/d/1VPAlzqiX0Oyi-yug6Bi4TJkjAh2M2Mpd/edit,a
https://drive.google.com/file/d/1PN4hv2S9GQLURyyp_xfKo_IhRBTS0ocm/edit,aa
https://drive.google.com/file/d/1r6xkIpQwkxsmHC8csucChu76BMFbAkO6/edit,aa
https://drive.google.com/file/d/1bUNzEtsmJFokTT1VXdhtsLQdQVJPcrSt/edit,aa
https://drive.google.com/file/d/1bmlxaJvC19nnI1OfhBiD7xReZ3hTIphJ/edit,aa
https://drive.google.com/file/d/1mY8b9tGP714pBaLvSNj55L5mrxjKyOBR/edit,aa
